"Cidade","UF","Pais","cidade","lat","lon","freq"
"Amsterdam",NA,"Países Baixos","Amsterdam, NA, Países Baixos",52.3727598,4.8936041,32
"Singapura",NA,"Cingapura","Singapura, NA, Cingapura",1.357107,103.8194992,6
"Uberaba","Minas Gerais","Brasil","Uberaba, Minas Gerais, Brasil",-19.750833,-47.936666,370
"Vitória da Conquista","Bahia","Brasil","Vitória da Conquista, Bahia, Brasil",-14.8567487,-40.8414804,226
"Guarujá","São Paulo","Brasil","Guarujá, São Paulo, Brasil",-23.9927768,-46.2558332,192
"Araguaína","Tocantins","Brasil","Araguaína, Tocantins, Brasil",-7.193241,-48.2018597,296
"Guaiúba","Ceará","Brasil","Guaiúba, Ceará, Brasil",-4.0412656,-38.6369079,4
"São Francisco do Conde","Bahia","Brasil","São Francisco do Conde, Bahia, Brasil",-12.628108,-38.6811326,4
"Tóquio",NA,"Japão","Tóquio, NA, Japão",35.6828387,139.7594549,20
"Milão",NA,"Itália","Milão, NA, Itália",45.4668,9.1905,8
"Módena",NA,"Itália","Módena, NA, Itália",44.5384728,10.9359608705307,4
"Sobral","Ceará","Brasil","Sobral, Ceará, Brasil",-3.6879135,-40.3456372,214
"Bruxelas",NA,"Bélgica","Bruxelas, NA, Bélgica",50.8465573,4.351697,50
"Caxias do Sul","Rio Grande do Sul","Brasil","Caxias do Sul, Rio Grande do Sul, Brasil",-29.1684796,-51.1793861,208
"Montevidéu",NA,"Uruguai","Montevidéu, NA, Uruguai",-34.9059039,-56.1913569,54
"Cidade do México",NA,"México","Cidade do México, NA, México",19.4326296,-99.1331785,51
"Stuttgart",NA,"Alemanha","Stuttgart, NA, Alemanha",48.7784485,9.1800132,7
"Wellington",NA,"Nova Zelândia","Wellington, NA, Nova Zelândia",-41.2887953,174.7772114,7
"Barcelona",NA,"Espanha","Barcelona, NA, Espanha",41.3828939,2.1774322,35
"Toronto",NA,"Canadá","Toronto, NA, Canadá",43.6534817,-79.3839347,21
"Nassau",NA,"Bahamas","Nassau, NA, Bahamas",25.0783456,-77.3383331,5
"Macapá","Amapá","Brasil","Macapá, Amapá, Brasil",0.0401529,-51.0569588,617
"Coronel Vivida","Paraná","Brasil","Coronel Vivida, Paraná, Brasil",-25.9803771,-52.5654277,8
"Ancara",NA,"Turquia","Ancara, NA, Turquia",39.9207774,32.854067,4
"Sofia",NA,"Bulgária","Sofia, NA, Bulgária",42.6978634,23.3221789,4
"Chapecó","Santa Catarina","Brasil","Chapecó, Santa Catarina, Brasil",-27.0922364,-52.6166878,594
"Mossoró","Rio Grande do Norte","Brasil","Mossoró, Rio Grande do Norte, Brasil",-5.1904332,-37.3443872,491
"Feira de Santana","Bahia","Brasil","Feira de Santana, Bahia, Brasil",-12.2578934,-38.9598047,462
"Cidade do Cabo",NA,"África do Sul","Cidade do Cabo, NA, África do Sul",-33.928992,18.417396,8
"Diamantino","Mato Grosso","Brasil","Diamantino, Mato Grosso, Brasil",-14.4036262,-56.4364488,32
"Cutias","Amapá","Brasil","Cutias, Amapá, Brasil",0.9708625,-50.8000608,6
"Ouro Preto","Minas Gerais","Brasil","Ouro Preto, Minas Gerais, Brasil",-20.3851692,-43.5036344,306
"Iereván",NA,"Armênia","Iereván, NA, Armênia",40.1776121,44.5125849,NA
"Hanói",NA,"Vietnã","Hanói, NA, Vietnã",21.0294498,105.8544441,NA
"Honolulu",NA,"Estados Unidos da América","Honolulu, NA, Estados Unidos da América",21.304547,-157.8556764,6
"Hartford",NA,"Estados Unidos da América","Hartford, NA, Estados Unidos da América",43.363967,-73.4052888,NA
"Cleveland  Ohio",NA,"Estados Unidos da América","Cleveland  Ohio, NA, Estados Unidos da América",41.5051613,-81.6934446,4
"São José dos Campos","São Paulo","Brasil","São José dos Campos, São Paulo, Brasil",-23.1805011,-45.8872969,1948
"Formosa","Goiás","Brasil","Formosa, Goiás, Brasil",-15.5492443,-47.3301212,147
"Resende","Rio de Janeiro","Brasil","Resende, Rio de Janeiro, Brasil",-22.4683626,-44.4463494,182
"Buenos Aires","Pernambuco","Brasil","Buenos Aires, Pernambuco, Brasil",-7.7218931,-35.326587,85
"Santiago",NA,"Chile","Santiago, NA, Chile",-33.4377968,-70.6504451,133
"Orlando",NA,"Estados Unidos da América","Orlando, NA, Estados Unidos da América",42.3045078,-78.7161416,22
"Imbituba","Santa Catarina","Brasil","Imbituba, Santa Catarina, Brasil",-28.241827,-48.6643444,53
"Passo Fundo","Rio Grande do Sul","Brasil","Passo Fundo, Rio Grande do Sul, Brasil",-28.2616138,-52.4089048,393
"Roma",NA,"Itália","Roma, NA, Itália",37.5865205,14.1747799,35
"Hamburgo",NA,"Alemanha","Hamburgo, NA, Alemanha",53.5437641,10.0099133,9
"Divinópolis","Minas Gerais","Brasil","Divinópolis, Minas Gerais, Brasil",-20.1434559,-44.89125,169
"Itaituba","Pará","Brasil","Itaituba, Pará, Brasil",-4.2625218,-55.9878139,187
"Doha",NA,"Catar","Doha, NA, Catar",25.2856329,51.5264162,9
"Frankfurt",NA,"Alemanha","Frankfurt, NA, Alemanha",50.1106444,8.6820917,22
"Sonoma  Califórnia",NA,"Estados Unidos da América","Sonoma  Califórnia, NA, Estados Unidos da América",36.7384814,-120.2414929,13
"Erechim","Rio Grande do Sul","Brasil","Erechim, Rio Grande do Sul, Brasil",-27.6350143,-52.2737288,109
"Vigia","Pará","Brasil","Vigia, Pará, Brasil",-0.8546027,-48.1432873,25
"Carpina","Pernambuco","Brasil","Carpina, Pernambuco, Brasil",-7.8459151,-35.2538861,114
"Yangon",NA,"Myanmar","Yangon, NA, Myanmar",16.7967129,96.1609916,5
"Nay Pyi Taw",NA,"Myanmar","Nay Pyi Taw, NA, Myanmar",19.7540045,96.1344976,2
"União da Vitória","Paraná","Brasil","União da Vitória, Paraná, Brasil",-26.228596,-51.0869796,41
"Bambuí","Minas Gerais","Brasil","Bambuí, Minas Gerais, Brasil",-20.0131996,-45.9777034,68
"Arcos","Minas Gerais","Brasil","Arcos, Minas Gerais, Brasil",-20.282223,-45.539444,60
"Port Louis",NA,"Maurício","Port Louis, NA, Maurício",-20.1637281,57.5045331,2
"Campos dos Goytacazes","Rio de Janeiro","Brasil","Campos dos Goytacazes, Rio de Janeiro, Brasil",-21.7558619,-41.3326895,178
"Filadelfia  Pensilvânia",NA,"Estados Unidos da América","Filadelfia  Pensilvânia, NA, Estados Unidos da América",39.9527237,-75.1635262,1
"Bogotá",NA,"Colômbia","Bogotá, NA, Colômbia",4.59808,-74.0760439,70
"Olinda","Pernambuco","Brasil","Olinda, Pernambuco, Brasil",-7.9986401,-34.8459552,308
"Atlanta",NA,"Estados Unidos da América","Atlanta, NA, Estados Unidos da América",42.5542347,-77.4724875,18
"Dacar",NA,"Senegal","Dacar, NA, Senegal",14.693425,-17.447938,4
"Viena",NA,"Áustria","Viena, NA, Áustria",48.2083537,16.3725042,37
"Harare",NA,"Zimbábue","Harare, NA, Zimbábue",-17.831773,31.045686,1
"Cornélio Procópio","Paraná","Brasil","Cornélio Procópio, Paraná, Brasil",-23.1825218,-50.6499263,109
"Larnaca",NA,"Chipre","Larnaca, NA, Chipre",34.9236095,33.6236184,7
"Calgary",NA,"Canadá","Calgary, NA, Canadá",51.0534234,-114.0625892,1
"Phoenix",NA,"Estados Unidos da América","Phoenix, NA, Estados Unidos da América",43.231179,-76.300764,6
"Stavanger",NA,"Noruega","Stavanger, NA, Noruega",58.9689601,5.7294654,3
"Boston",NA,"Estados Unidos da América","Boston, NA, Estados Unidos da América",42.6289495,-78.7375289,30
"Bagé","Rio Grande do Sul","Brasil","Bagé, Rio Grande do Sul, Brasil",-31.3314264,-54.1062808,133
"Túnis",NA,"Tunísia","Túnis, NA, Tunísia",33.8439408,9.400138,1
"Ilhéus","Bahia","Brasil","Ilhéus, Bahia, Brasil",-14.792599,-39.0453843,518
"Canberra",NA,"Austrália","Canberra, NA, Austrália",-35.2975906,149.1012676,3
"Joinville","Santa Catarina","Brasil","Joinville, Santa Catarina, Brasil",-26.3044898,-48.8486726,295
"Bamaco",NA,"Malí","Bamaco, NA, Malí",12.60503275,-7.98651367343936,4
"Tefé","Amazonas","Brasil","Tefé, Amazonas, Brasil",-3.3485276,-64.7102278,141
"Luanda",NA,"Angola","Luanda, NA, Angola",-8.8272699,13.2439512,20
"Cali",NA,"Colômbia","Cali, NA, Colômbia",3.4517923,-76.5324943,1
"Porto de Moz","Pará","Brasil","Porto de Moz, Pará, Brasil",-1.7502089,-52.235556,32
"Breves","Pará","Brasil","Breves, Pará, Brasil",-1.68036,-50.479085,60
"Brisbane",NA,"Austrália","Brisbane, NA, Austrália",-27.4689682,153.0234991,2
"São Francisco do Sul","Santa Catarina","Brasil","São Francisco do Sul, Santa Catarina, Brasil",-26.2495087,-48.6308087,47
"La Paz",NA,"Bolívia","La Paz, NA, Bolívia",-11.7773231,-67.4519752,12
"Cruz Alta","Rio Grande do Sul","Brasil","Cruz Alta, Rio Grande do Sul, Brasil",-28.645056,-53.6058047,40
"Santa Rosa",NA,"Argentina","Santa Rosa, NA, Argentina",-27.4158977,-55.8991966,64
"Budapeste",NA,"Hungria","Budapeste, NA, Hungria",47.4983815,19.0404707,4
"Ciudad del Este",NA,"Paraguai","Ciudad del Este, NA, Paraguai",-25.5169015,-54.6168645,1
"Las Vegas",NA,"Estados Unidos da América","Las Vegas, NA, Estados Unidos da América",36.1672559,-115.1485163,9
"Acra",NA,"Gana","Acra, NA, Gana",5.5600141,-0.2057437,32
"Carauari","Amazonas","Brasil","Carauari, Amazonas, Brasil",-4.8766426,-66.8961433,25
"Nova Friburgo","Rio de Janeiro","Brasil","Nova Friburgo, Rio de Janeiro, Brasil",-22.2800004,-42.5325303,114
"Água Branca","Piauí","Brasil","Água Branca, Piauí, Brasil",-5.8913922,-42.6361148,34
"Guarapari","Espírito Santo","Brasil","Guarapari, Espírito Santo, Brasil",-20.6718755,-40.4984617,35
"Cacoal","Rondônia","Brasil","Cacoal, Rondônia, Brasil",-11.4333,-61.4420502,142
"Sidrolândia","Mato Grosso do Sul","Brasil","Sidrolândia, Mato Grosso do Sul, Brasil",-20.9361042,-54.9640262,46
"Cachoeira do Sul","Rio Grande do Sul","Brasil","Cachoeira do Sul, Rio Grande do Sul, Brasil",-30.0474778,-52.8905413,126
"Jaboatão dos Guararapes","Pernambuco","Brasil","Jaboatão dos Guararapes, Pernambuco, Brasil",-8.1752476,-34.9468716,37
"Oeiras","Piauí","Brasil","Oeiras, Piauí, Brasil",-7.0109909,-42.1299376,51
"São Raimundo Nonato","Piauí","Brasil","São Raimundo Nonato, Piauí, Brasil",-9.0150522,-42.6886909,148
"Pequim",NA,"China","Pequim, NA, China",39.906217,116.3912757,15
"Epitaciolândia","Acre","Brasil","Epitaciolândia, Acre, Brasil",-11.0289439,-68.7411519,35
"MADRI",NA,"ESPANHA","MADRI, NA, ESPANHA",40.4574389,-3.7122867,43
"Valencia",NA,"Venezuela","Valencia, NA, Venezuela",10.1828036,-68.003553,9
"Araçatuba","São Paulo","Brasil","Araçatuba, São Paulo, Brasil",-21.207992,-50.4390225,188
"Ezeiza",NA,"Argentina","Ezeiza, NA, Argentina",-26.399328,-54.5756526,7
"JiParaná","Rondônia","Brasil","JiParaná, Rondônia, Brasil",-9.2649566,-61.6833963,396
"Vilhena","Rondônia","Brasil","Vilhena, Rondônia, Brasil",-12.7368536,-60.1465555,286
"Montes Claros","Minas Gerais","Brasil","Montes Claros, Minas Gerais, Brasil",-16.7273538,-43.8717676,445
"Juruá","Amazonas","Brasil","Juruá, Amazonas, Brasil",-3.4746666,-66.0622335,17
"Cruzeiro do Sul","Acre","Brasil","Cruzeiro do Sul, Acre, Brasil",-7.6307956,-72.6703869,228
"Dourados","Mato Grosso do Sul","Brasil","Dourados, Mato Grosso do Sul, Brasil",-22.2206145,-54.812208,1618
"Santana do Cariri","Ceará","Brasil","Santana do Cariri, Ceará, Brasil",-7.1861693,-39.7374262,5
"Johannesburg",NA,"África do Sul","Johannesburg, NA, África do Sul",-26.205,28.049722,12
"Maputo",NA,"Moçambique","Maputo, NA, Moçambique",-25.966213,32.56745,13
"Guarabira","Paraíba","Brasil","Guarabira, Paraíba, Brasil",-6.8513982,-35.4915582,48
"Beirute",NA,"Líbano","Beirute, NA, Líbano",33.8959203,35.47843,3
"Cairo",NA,"Egito","Cairo, NA, Egito",30.048819,31.243666,4
"Cartagena",NA,"Espanha","Cartagena, NA, Espanha",37.6267868,-1.0006184,1
"Tapauá","Amazonas","Brasil","Tapauá, Amazonas, Brasil",-5.6232283,-63.1879157,26
"Iquitos",NA,"Peru","Iquitos, NA, Peru",-11.0625193,-68.1794456,2
"Macaé","Rio de Janeiro","Brasil","Macaé, Rio de Janeiro, Brasil",-22.3712958,-41.7866922,101
"Caracaraí","Roraima","Brasil","Caracaraí, Roraima, Brasil",1.827598,-61.125389,196
"Sorocaba","São Paulo","Brasil","Sorocaba, São Paulo, Brasil",-23.501667,-47.458056,435
"Canguaretama","Rio Grande do Norte","Brasil","Canguaretama, Rio Grande do Norte, Brasil",-6.3751942,-35.137463,64
"Tegucigalpa",NA,"Honduras","Tegucigalpa, NA, Honduras",14.1056861,-87.204676,7
"Calçoene","Amapá","Brasil","Calçoene, Amapá, Brasil",2.4981757,-50.9539503,28
"Caicó","Rio Grande do Norte","Brasil","Caicó, Rio Grande do Norte, Brasil",-6.4594544,-37.0971911,313
"Rio Grande","Rio Grande do Sul","Brasil","Rio Grande, Rio Grande do Sul, Brasil",-32.0334252,-52.0991297,299
"Dubai",NA,"Emirados Arabes Unidos","Dubai, NA, Emirados Arabes Unidos",25.2047397,55.2707065,16
"São Carlos","São Paulo","Brasil","São Carlos, São Paulo, Brasil",-22.0183367,-47.890932,258
"Sinop","Mato Grosso","Brasil","Sinop, Mato Grosso, Brasil",-11.8508224,-55.5175957,282
"Haia",NA,"Países Baixos","Haia, NA, Países Baixos",52.0799838,4.3113461,10
"Tamandaré","Pernambuco","Brasil","Tamandaré, Pernambuco, Brasil",-8.7500009,-35.1045787,127
"Várzea Grande","Mato Grosso","Brasil","Várzea Grande, Mato Grosso, Brasil",-15.645816,-56.132218,118
"Belize",NA,"Belize","Belize, NA, Belize",16.8259793,-88.7600927,NA
"Cáceres","Mato Grosso","Brasil","Cáceres, Mato Grosso, Brasil",-16.0658939,-57.6852775,404
"Vila Bela da Santíssima Trindade","Mato Grosso","Brasil","Vila Bela da Santíssima Trindade, Mato Grosso, Brasil",-15.009904,-59.961115,96
"Alagoinhas","Bahia","Brasil","Alagoinhas, Bahia, Brasil",-12.133526,-38.420772,88
"Boa Vista do Tupim","Bahia","Brasil","Boa Vista do Tupim, Bahia, Brasil",-12.6605988,-40.6083594,10
"Iaçu","Bahia","Brasil","Iaçu, Bahia, Brasil",-12.7672074,-40.2106427,4
"Morro do Chapéu","Bahia","Brasil","Morro do Chapéu, Bahia, Brasil",-11.5500293,-41.1570248,9
